target_percentage,current_percentage,iteration,species,select_set,expand_set,envelope,fbindex_ux,fbindex_uy,fbindex_uz,fbindex_interaction,fbindex_result_num,fbindex_final_cost,fbindex_result
0.0001,0.0001004944879461,500,electrons,"('ux', 'uy', 'uz')","['uz', 'ux']","{'ux': [-3.252905782700696e-06, -1.8135925699347791e-06], 'uy': [1.5757613580167552e-06, 0.0001635066113225017], 'uz': [5.874330527137088e-06, 1.0502025276680707e-05]}",0.5398225784301758,0.6618258953094482,0.43709254264831543,0.18072509765625,0,1.8194661140441895,4031.0
0.0001,0.0001009775184097,500,electrons,"('ux', 'uy', 'uz')","['uy', 'ux']","{'ux': [-3.4285458262080206e-06, -1.730708248304872e-06], 'uy': [1.4436995374719863e-05, 3.486916719347677e-05], 'uz': [-1.8366552260389993e-05, 1.4612251139955594e-06]}",0.5794503688812256,0.6102018356323242,0.6515152454376221,0.33102893829345703,0,2.172196388244629,3981.0
0.0001,0.0001007360031779,500,electrons,"('ux', 'uy', 'uz')","['uy', 'ux']","{'ux': [-1.343479132686187e-05, -1.242337174760466e-05], 'uy': [0.00015518922394381287, 0.00036124056874887436], 'uz': [-0.00019179981363122526, 5.55734958385125e-05]}",0.5850281715393066,0.5510344505310059,0.8796687126159668,0.8003473281860352,0,2.8160786628723145,2049.0
0.0001,0.0001004944879461,500,electrons,"('ux', 'uy', 'uz')",['uz'],"{'ux': [5.007502459187178e-05, 0.00011727570553487663], 'uy': [-0.0001021259331000313, 0.0002388093115548507], 'uz': [-9.110450302777433e-07, 9.595297398086327e-06]}",0.6264300346374512,0.8788542747497559,0.5660150051116943,1.0965137481689453,0,3.1678130626678467,3894.0
0.0001,0.000100880912317,500,electrons,"('ux', 'uy', 'uz')","['uy', 'ux', 'uz']","{'ux': [-1.6961174540054687e-05, 1.0987946315897044e-06], 'uy': [3.745001023127378e-05, 0.00011051279129233572], 'uz': [3.055537369926431e-05, 8.409588101960917e-05]}",0.6566276550292969,0.5321545600891113,0.5145003795623779,0.550112247467041,0,2.253394842147827,3902.0
0.0001,0.0001007118516547,500,electrons,"('ux', 'uy', 'uz')","['uy', 'uz']","{'ux': [-0.00040458965951161677, 0.004412888774421734], 'uy': [-0.0016107295360646592, -0.0010926053672595452], 'uz': [0.005692499990895335, 0.008149601424227815]}",1.4202966690063477,0.4791278839111328,0.279818058013916,2.193781614303589,0,4.373024225234985,3924.0
0.0001,0.0001001080635753,500,electrons,"('ux', 'uy', 'uz')","['uy', 'ux']","{'ux': [6.06741790556008e-06, 3.9149564688407654e-05], 'uy': [1.2854717267567917e-05, 4.699785760516757e-05], 'uz': [-0.00028131723015195777, -2.9980136511253786e-05]}",0.605750560760498,0.5287702083587646,0.6893656253814697,0.48264193534851074,0,2.306528329849243,4073.0
0.0001,0.0001008567607938,500,electrons,"('ux', 'uy', 'uz')",['uz'],"{'ux': [-0.00023262188817905943, -4.9620253289800825e-05], 'uy': [-0.00017416321259410152, 3.6529571176426125e-05], 'uz': [0.00032035848225674953, 0.00038940478507733673]}",0.6558270454406738,0.7477011680603027,0.37720799446105957,0.8285844326019287,0,2.609320640563965,3926.0
0.0001,9.940766940313085e-05,500,electrons,"('ux', 'uy', 'uz')","['ux', 'uz']","{'ux': [3.364597859016212e-06, 2.349133910207885e-05], 'uy': [-7.766652257947841e-05, -3.314939800542701e-05], 'uz': [-5.1764926608177456e-05, -2.634916688519677e-07]}",0.5159206390380859,0.6034398078918457,0.6369810104370117,0.27062368392944336,0,2.0269651412963867,3957.0
0.0001,9.90212450322732e-05,500,electrons,"('ux', 'uy', 'uz')","['ux', 'uz', 'uy']","{'ux': [-0.00010938760384405945, 1.610850739974005e-05], 'uy': [6.875861331721222e-05, 9.816045636300105e-05], 'uz': [-0.00027594952979569163, -0.00011410477114489748]}",0.931718111038208,0.6052517890930176,0.6430237293243408,0.8820383548736572,0,3.0620319843292236,3842.0
0.0001,0.0001003978818534,500,electrons,"('ux', 'uy', 'uz')","['ux', 'uy']","{'ux': [-5.717187401205227e-06, 4.374131730949766e-05], 'uy': [-5.1744912650235466e-05, -2.729127104580923e-05], 'uz': [-0.0002993836452112258, -2.6306117699181193e-05]}",0.8644006252288818,0.5995714664459229,0.7806286811828613,0.971513032913208,0,3.216113805770874,4012.0
0.0001,9.97457907276313e-05,500,electrons,"('ux', 'uy', 'uz')","['uy', 'ux', 'uz']","{'ux': [0.00021361894927543417, 0.00040506199384065145], 'uy': [-0.0006024230693417255, -0.0001195472914263912], 'uz': [-0.004000208233883526, -0.003411163458906488]}",0.4743795394897461,0.587899923324585,0.367992639541626,0.5471270084381104,0,1.9773991107940674,3789.0
0.0001,9.90453965554518e-05,500,electrons,"('ux', 'uy', 'uz')",['ux'],"{'ux': [4.4458325581472036e-14, 1.749509264093765e-13], 'uy': [-4.1725648971971035e-12, 8.714554415304509e-12], 'uz': [-3.3847200530464995e-12, 4.831247440639559e-13]}",0.4371793270111084,0.6239700317382812,0.5485074520111084,0.031812191009521484,0,1.6414690017700195,4083.0
0.001,0.0010012255448921,500,electrons,"('ux',)",['ux'],"{'ux': [-0.00666174800342621, -0.006509938636937755]}",0.2860426902770996,0.0,0.0,0.0,0,0.2860426902770996,27185.0
0.001,0.0010049448794616,500,electrons,"('ux',)",['ux'],"{'ux': [-0.00011761415328403597, -0.00011557700457019852]}",0.48612499237060547,0.0,0.0,0.0,0,0.48612499237060547,0.0
0.001,0.0010041961822431,500,electrons,"('ux',)",['ux'],"{'ux': [1.5508515618437515e-06, 1.8396534001140967e-06]}",0.495511531829834,0.0,0.0,0.0,0,0.495511531829834,36246.0
0.001,0.000994318209263,500,electrons,"('ux',)",['ux'],"{'ux': [-0.0002929148975075444, -0.0002878259549568643]}",0.4511749744415283,0.0,0.0,0.0,0,0.4511749744415283,0.0
0.001,0.0010000904233027,500,electrons,"('ux',)",['ux'],"{'ux': [0.00015265170967979219, 0.00015483870908731181]}",0.4170041084289551,0.0,0.0,0.0,0,0.4170041084289551,0.0
0.001,0.001000935726614,500,electrons,"('ux',)",['ux'],"{'ux': [-0.012586446045687677, -0.012178827592480568]}",0.2592732906341553,0.0,0.0,0.0,0,0.2592732906341553,0.0
0.001,0.0009953325732365,500,electrons,"('ux',)",['ux'],"{'ux': [-0.0002898308074064155, -0.0002848529147707002]}",0.336808443069458,0.0,0.0,0.0,0,0.336808443069458,41329.0
0.001,0.0010077706076735,500,electrons,"('ux',)",['ux'],"{'ux': [0.00052013662071866, 0.0005272455574854574]}",0.3667874336242676,0.0,0.0,0.0,0,0.3667874336242676,29271.0
0.001,0.0009984481197266,500,electrons,"('ux',)",['ux'],"{'ux': [0.000199338643705671, 0.00020215102601564352]}",0.4835669994354248,0.0,0.0,0.0,0,0.4835669994354248,0.0
0.001,0.0010089540323093,500,electrons,"('ux',)",['ux'],"{'ux': [1.581759709417433e-06, 1.8743388227509284e-06]}",0.5778341293334961,0.0,0.0,0.0,0,0.5778341293334961,35701.0
0.001,0.0009964918463491,500,electrons,"('ux',)",['ux'],"{'ux': [0.01238258236086656, 0.012803204069461017]}",0.26239848136901855,0.0,0.0,0.0,0,0.26239848136901855,0.0
0.001,0.0010051139401239,500,electrons,"('ux',)",['ux'],"{'ux': [0.0001190691816971433, 0.00012113411033659593]}",0.4877300262451172,0.0,0.0,0.0,0,0.4877300262451172,0.0
0.001,0.0010067320921768,500,electrons,"('ux',)",['ux'],"{'ux': [-0.000457109616102157, -0.00045037816768645796]}",0.37374114990234375,0.0,0.0,0.0,0,0.37374114990234375,30904.0
