target_percentage,current_percentage,iteration,species,select_set,expand_set,envelope,fbindex_ux,fbindex_uy,fbindex_uz,fbindex_interaction,fbindex_result_num,fbindex_final_cost,fbindex_result
0.0001,9.99002200510134e-05,9000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uz']","{'ux': [-0.020059538298075004, -0.018670293073972194], 'uy': [-0.11213364056896803, 0.03688029410905856], 'uz': [0.14628624191611744, 0.149966313063638]}",3.433088541030884,0.8269264698028564,0.4714844226837158,0.7218668460845947,0,5.453366279602051,0.0
0.0001,0.0001009567567473,9000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uy', 'uz']","{'ux': [0.03692899201161642, 0.042469983946264035], 'uy': [-0.004080734553338224, -0.002057034027971023], 'uz': [0.08067650540280578, 0.1069276749783145]}",1.5970618724822998,4.344229459762573,0.4970402717590332,2.6214640140533447,0,9.059795618057251,0.0
0.0001,0.0001003430411281,9000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uy']","{'ux': [0.0034994992185473223, 0.004181956512385218], 'uy': [-0.0016323329687035816, -0.0011698111304221858], 'uz': [0.005216021843463362, 0.13997911297406523]}",2.047029733657837,3.7011630535125732,1.3883333206176758,0.6193783283233643,0,7.75590443611145,0.0
0.0001,9.905649542579638e-05,9000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uz', 'uy']","{'ux': [-0.018290306331562686, -0.016590778308619936], 'uy': [-0.012871596595089718, -0.005323287857574301], 'uz': [0.19989987376455598, 0.21622301948826206]}",3.4443717002868652,6.781530141830444,0.4348900318145752,11.193355560302734,0,21.85414743423462,0.0
0.0001,0.0001006009951537,9000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uy', 'uz']","{'ux': [-0.03413419200513988, -0.027134876948158186], 'uy': [-0.030008458458409493, -0.02204004337560824], 'uz': [0.14611220545306408, 0.16705734977165765]}",3.7230520248413086,4.45207142829895,0.45920300483703613,8.48520565032959,0,17.119532108306885,0.0
0.0001,9.928220519814744e-05,9000,hydrogen,"('ux', 'uy', 'uz')","['uz', 'uy', 'ux']","{'ux': [0.0103758400952081, 0.017474915289005476], 'uy': [0.012755937906199414, 0.017119392879593635], 'uz': [0.24422693025063327, 0.3019360385933436]}",1.6750526428222656,0.9013702869415283,0.41252970695495605,8.344650268554688e-06,0,2.9889609813690186,0.0
0.0001,0.0001002043908394,9000,hydrogen,"('ux', 'uy', 'uz')","['uz', 'uy']","{'ux': [-0.08389534213643277, 0.052220847022101724], 'uy': [0.040568206796114274, 0.05092338157146454], 'uz': [0.33323467123472583, 0.36111610825245954]}",2.488008499145508,0.7848687171936035,0.4074866771697998,7.62939453125e-06,0,3.6803715229034424,0.0
0.0001,0.0001002549068361,9000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uz']","{'ux': [0.006992966674432027, 0.008155246287630126], 'uy': [-0.01458166171171035, 0.09128451370263363], 'uz': [0.09251102354937803, 0.09526537636365244]}",1.8225622177124023,0.7802982330322266,0.5129480361938477,7.62939453125e-06,0,3.115816116333008,0.0
0.0001,9.97153529993735e-05,9000,hydrogen,"('ux', 'uy', 'uz')","['uz', 'ux']","{'ux': [0.03371449916564221, 0.03909788234813454], 'uy': [-0.09492137196016649, 0.042138817842112236], 'uz': [0.16649001346148606, 0.17456062277586165]}",1.6004173755645752,1.6982324123382568,0.46149110794067383,8.106231689453125e-06,0,3.7601490020751953,0.0
0.0001,0.0001003731357645,9000,hydrogen,"('ux', 'uy', 'uz')","['uz', 'uy']","{'ux': [-0.07584059947214916, 0.05689526787888857], 'uy': [0.004575165688101408, 0.005047746389175975], 'uz': [0.20489362044372103, 0.21140339766336622]}",2.491305351257324,1.0192124843597412,0.930908203125,7.867813110351562e-06,0,4.441433906555176,0.0
