query_seq,target_percentage,select_set,test_type,test_name,index_type,storage,secondary,direct_block_read,read_groups,query_index_time_elapsed,remove_duplication_time_elapsed,sort_block_metadata_time_elapsed,find_optimal_read_solution_time_elapsed,generate_select_array_time_elapsed,get_target_data_time_elapsed,get_support_data_time_elapsed,data_calculation_time_elapsed,data_apply_select_time_elapsed,apply_particle_level_select_array_time_elapsed,total_time_elapsed,query_result_size,current_percentage,iteration,species,expand_set,envelope,data_size
86,0.01%,"('ux','uy')",3,GeoIndex,Rtree,File,None,True,False,0.030908584594726562,1.9073486328125e-06,,,0.016670942306518555,214.9272322654724,33.569427251815796,256.0238764286041,16.49903130531311,1.737544298171997,523.6559929847717,3986,0.0001,10000,hydrogen,"['ux','uy']","{'ux': [-0.0008160420091183347, -0.0006916385351139558], 'uy': [-0.003460822416783812, -0.0033014526694700817]}",1311713.0
86,0.01%,"('ux','uy')",4,GeoIndex,Min-Max,File,None,False,True,0.0580596923828125,0.003976106643676758,0.00170135498046875,0.06732940673828125,7.245969772338867,527.5276775360107,0.0,0.0,0.0,0.0,,3986,0.0001,10000,hydrogen,"['ux','uy']","{'ux': [-0.0008160420091183347, -0.0006916385351139558], 'uy': [-0.003460822416783812, -0.0033014526694700817]}",
86,0.01%,"('ux','uy')",5,GeoIndex,Rtree,File,None,False,True,0.03108668327331543,1.6689300537109375e-06,0.001737833023071289,0.06672453880310059,7.310908794403076,291.52285838127136,0.0,0.0,0.0,0.0,,3986,0.0001,10000,hydrogen,"['ux','uy']","{'ux': [-0.0008160420091183347, -0.0006916385351139558], 'uy': [-0.003460822416783812, -0.0033014526694700817]}",
87,0.01%,"('ux','uy')",2,GeoIndex,Min-Max,File,None,True,False,0.05299830436706543,0.0029959678649902344,,,0.013426542282104492,179.51175618171692,29.13288402557373,72.19497728347778,12.510931968688965,1.4453766345977783,295.5554823875427,3258,0.000101,10000,hydrogen,"['ux','uy']","{'ux': [0.003211259139482135, 0.003595631756149061], 'uy': [0.004676955610899132, 0.004955405932290002]}",1324164.0
87,0.01%,"('ux','uy')",3,GeoIndex,Rtree,File,None,True,False,0.028595685958862305,2.1457672119140625e-06,,,0.013562917709350586,173.90237021446228,27.220041036605835,71.85434317588806,11.857722043991089,1.4517011642456055,287.0207703113556,3258,0.000101,10000,hydrogen,"['ux','uy']","{'ux': [0.003211259139482135, 0.003595631756149061], 'uy': [0.004676955610899132, 0.004955405932290002]}",1324164.0
87,0.01%,"('ux','uy')",4,GeoIndex,Min-Max,File,None,False,True,0.0529322624206543,0.0031883716583251953,0.0015749931335449219,0.05405116081237793,6.948992490768433,291.5930733680725,0.0,0.0,0.0,0.0,,3258,0.000101,10000,hydrogen,"['ux','uy']","{'ux': [0.003211259139482135, 0.003595631756149061], 'uy': [0.004676955610899132, 0.004955405932290002]}",
87,0.01%,"('ux','uy')",5,GeoIndex,Rtree,File,None,False,True,0.028243541717529297,1.9073486328125e-06,0.001535177230834961,0.05379796028137207,6.888085126876831,546.1484923362732,0.0,0.0,0.0,0.0,,3258,0.000101,10000,hydrogen,"['ux','uy']","{'ux': [0.003211259139482135, 0.003595631756149061], 'uy': [0.004676955610899132, 0.004955405932290002]}",
88,0.01%,"('ux','uy')",2,GeoIndex,Min-Max,File,None,True,False,0.046842098236083984,0.002893209457397461,,,0.011893510818481445,155.40712714195251,20.64639663696289,179.95523762702942,10.31682562828064,1.2901570796966553,368.27255415916443,2823,0.0001,10000,hydrogen,"['ux','uy']","{'ux': [0.005777068173536777, 0.006511344194784687], 'uy': [0.007531094872504918, 0.00813219538694351]}",1314621.0
88,0.01%,"('ux','uy')",3,GeoIndex,Rtree,File,None,True,False,0.026436805725097656,1.430511474609375e-06,,,0.011866092681884766,153.88329529762268,18.706255197525024,42.9825484752655,9.472538232803345,1.2502975463867188,226.90761280059814,2823,0.0001,10000,hydrogen,"['ux','uy']","{'ux': [0.005777068173536777, 0.006511344194784687], 'uy': [0.007531094872504918, 0.00813219538694351]}",1314621.0
88,0.01%,"('ux','uy')",4,GeoIndex,Min-Max,File,None,False,True,0.047075748443603516,0.0027861595153808594,0.0014002323150634766,0.046949148178100586,6.766779184341431,292.83737087249756,0.0,0.0,0.0,0.0,,2823,0.0001,10000,hydrogen,"['ux','uy']","{'ux': [0.005777068173536777, 0.006511344194784687], 'uy': [0.007531094872504918, 0.00813219538694351]}",
